Neighborhood,HoodAveIncome,HoodID
City of Toronto,52268,0
Agincourt North,30414,129
Agincourt South-Malvern West,31825,128
Alderwood,47709,20
Annex,112766,95
Banbury-Don Mills,67757,42
Bathurst Manor,45936,34
Bay Street Corridor,56526,76
Bayview Village,52035,52
Bayview Woods-Steeles,47246,49
Bedford Park-Nortown,123077,39
Beechborough-Greenbrook,33829,112
Bendale,33256,127
Birchcliffe-Cliffside,54360,122
Black Creek,25989,24
Blake-Jones,48511,69
Briar Hill-Belgravia,34768,108
Bridle Path-Sunnybrook-York Mills,308010,41
Broadview North,44557,57
Brookhaven-Amesbury,32483,30
Cabbagetown-South St. James Town,63012,71
Caledonia-Fairbank,35112,109
Casa Loma,165047,96
Centennial Scarborough,54045,133
Church-Yonge Corridor,53583,75
Clairlea-Birchmount,36232,120
Clanton Park,51181,33
Cliffcrest,44718,123
Corso Italia-Davenport,41717,92
Danforth,55225,66
Danforth East York,51846,59
Don Valley Village,37379,47
Dorset Park,31692,126
Dovercourt-Wallace Emerson-Junction,39740,93
Downsview-Roding-CFB,34168,26
Dufferin Grove,40588,83
East End-Danforth,54324,62
Edenbridge-Humber Valley,101551,9
Eglinton East,30033,138
Elms-Old Rexdale,32012,5
Englemount-Lawrence,48134,32
Eringate-Centennial-West Deane,47002,11
Etobicoke West Mall,38255,13
Flemingdon Park,28654,44
Forest Hill North,85099,102
Forest Hill South,204521,101
Glenfield-Jane Heights,27984,25
Greenwood-Coxwell,46206,65
Guildwood,53203,140
Henry Farm,36359,53
High Park North,57465,88
High Park-Swansea,71204,87
Highland Creek,40972,134
Hillcrest Village,40442,48
Humber Heights-Westmount,45615,8
Humber Summit,30731,21
Humbermede,29528,22
Humewood-Cedarvale,65274,106
Ionview,31383,125
Islington-City Centre West,52787,14
Junction Area,49709,90
Keelesdale-Eglinton West,33316,110
Kennedy Park,30974,124
Kensington-Chinatown,37422,78
Kingsview Village-The Westway,36674,6
Kingsway South,144642,15
Lambton Baby Point,76629,114
L'Amoreaux,31826,117
Lansing-Westgate,72371,38
Lawrence Park North,111730,105
Lawrence Park South,169203,103
Leaside-Bennington,125564,56
Little Portugal,45737,84
Long Branch,47384,19
Malvern,29573,132
Maple Leaf,37108,29
Markland Wood,62378,12
Milliken,28085,130
Mimico (includes Humber Bay Shores),54438,17
Morningside,32291,135
Moss Park,58915,73
Mount Dennis,30827,115
Mount Olive-Silverstone-Jamestown,26548,2
Mount Pleasant East,85340,99
Mount Pleasant West,57039,104
New Toronto,44101,18
Newtonbrook East,45212,50
Newtonbrook West,34904,36
Niagara,70623,82
North Riverdale,73253,68
North St. James Town,32648,74
Oakridge,26793,121
Oakwood Village,39803,107
O'Connor-Parkview,43907,54
Old East York,53315,58
Palmerston-Little Italy,58071,80
Parkwoods-Donalda,42516,45
Pelmo Park-Humberlea,39003,23
Playter Estates-Danforth,70831,67
Pleasant View,36346,46
Princess-Rosethorn,99055,10
Regent Park,34597,72
Rexdale-Kipling,34418,4
Rockcliffe-Smythe,34059,111
Roncesvalles,50580,86
Rosedale-Moore Park,207903,98
Rouge,39556,131
Runnymede-Bloor West Village,71888,89
Rustic,31800,28
Scarborough Village,32913,139
South Parkdale,35207,85
South Riverdale,53803,70
St.Andrew-Windfields,100516,40
Steeles,31786,116
Stonegate-Queensway,64140,16
Tam O'Shanter-Sullivan,34200,118
Taylor-Massey,30430,61
The Beaches,92580,63
Thistletown-Beaumond Heights,32815,3
Thorncliffe Park,28875,55
Trinity-Bellwoods,50694,81
University,50757,79
Victoria Village,35786,43
Waterfront Communities-The Island,70600,77
West Hill,33323,136
West Humber-Clairville,31771,1
Westminster-Branson,32724,35
Weston,32997,113
Weston-Pelham Park,33528,91
Wexford/Maryvale,35047,119
Willowdale East,45326,51
Willowdale West,44576,37
Willowridge-Martingrove-Richview,44177,7
Woburn,30878,137
Woodbine Corridor,55199,64
Woodbine-Lumsden,47710,60
Wychwood,54460,94
Yonge-Eglinton,89330,100
Yonge-St.Clair,114174,97
York University Heights,29958,27
Yorkdale-Glen Park,38527,31
